Loaded 3528 per-layer records from src/TruncGPTQ/tuning_results_20260314_120603/

=== METHOD / EPS SUMMARY ===
threshold_method       eps  runs  mean_rel_err  std_rel_err   mean_rank  mean_ppl
             abs  0.000001     1      0.056252     0.022662 5180.698413  8.819189
layer_31.self_attn.k_proj     0.046313     0.114122       0.067809       772      4096
 layer_9.self_attn.v_proj     0.076446     0.144093       0.067647      2180      4094
     layer_29.mlp.up_proj     0.070749     0.138259       0.067510      2975      4094
layer_10.self_attn.v_proj     0.073598     0.140582       0.066984      2659      4095
   layer_32.mlp.down_proj     0.084526     0.151111       0.066585      5179     12288
layer_25.self_attn.k_proj     0.038684     0.104928       0.066244       888      4096
      layer_1.mlp.up_proj     0.024494     0.090690       0.066196      1044      4091
     layer_30.mlp.up_proj     0.068990     0.135163       0.066173      2953      4094
   layer_24.mlp.down_proj     0.079822     0.145625       0.065803      5306     12288
layer_32.self_attn.k_proj     0.045638     0.111351       0.065713       865      4096
layer_34.self_attn.k_proj     0.045106     0.110604       0.065498       913      4096
layer_26.self_attn.q_proj     0.039046     0.102605       0.063559      1072      4096
     layer_31.mlp.up_proj     0.071273     0.134477       0.063204      3051      4095
      layer_6.mlp.up_proj     0.081889     0.144988       0.063099      3233      4091
layer_29.self_attn.k_proj     0.047344     0.110352       0.063008       720      4096
layer_27.self_attn.q_proj     0.039892     0.102528       0.062636       961      4096
 layer_7.self_attn.o_proj     0.068467     0.131042       0.062575      2362      4096
layer_25.self_attn.q_proj     0.035863     0.098275       0.062412       888      4096
layer_30.self_attn.q_proj     0.037793     0.100174       0.062381      1094      4096
layer_21.self_attn.q_proj     0.034661     0.095158       0.060497       673      4096
 layer_8.self_attn.v_proj     0.069829     0.129875       0.060046      2435      4095
layer_22.self_attn.q_proj     0.032182     0.092035       0.059853       754      4096
   layer_27.mlp.down_proj     0.085823     0.145134       0.059311      5491     12288
layer_20.self_attn.k_proj     0.034830     0.094108       0.059278       777      4096
   layer_35.mlp.gate_proj     0.034571     0.093178       0.058607      1538      4095
layer_23.self_attn.q_proj     0.033004     0.091410       0.058406       765      4096
   layer_25.mlp.down_proj     0.086112     0.144488       0.058376      6066     12288
layer_32.self_attn.q_proj     0.040852     0.098891       0.058039       865      4096
layer_29.self_attn.q_proj     0.043029     0.100944       0.057915       720      4096
layer_23.self_attn.k_proj     0.033353     0.090828       0.057475       765      4096
   layer_34.mlp.gate_proj     0.048738     0.105960       0.057222      2504      4094
layer_28.self_attn.k_proj     0.039667     0.096841       0.057174       686      4096
layer_34.self_attn.q_proj     0.039856     0.097010       0.057154       913      4096
layer_28.self_attn.q_proj     0.038851     0.095986       0.057135       686      4096
layer_31.self_attn.q_proj     0.038977     0.095255       0.056278       772      4096
layer_21.self_attn.k_proj     0.033051     0.089122       0.056071       673      4096
layer_35.self_attn.k_proj     0.040353     0.096167       0.055814      1729      4096
layer_20.self_attn.q_proj     0.032457     0.088196       0.055739       777      4096
     layer_32.mlp.up_proj     0.071167     0.126905       0.055738      3148      4094
     layer_19.mlp.up_proj     0.078075     0.133395       0.055320      3347      4095
     layer_34.mlp.up_proj     0.046548     0.101780       0.055232      2504      4094
     layer_33.mlp.up_proj     0.066014     0.120401       0.054387      3058      4096
    layer_0.mlp.down_proj     0.048911     0.102746       0.053835      4313     12288
   layer_26.mlp.down_proj     0.083778     0.137560       0.053782      6264     12288
     layer_21.mlp.up_proj     0.079926     0.133071       0.053145      3343      4094
layer_24.self_attn.k_proj     0.038555     0.091455       0.052900       687      4096
layer_19.self_attn.k_proj     0.035306     0.087793       0.052487      1154      4096
layer_33.self_attn.k_proj     0.052329     0.104228       0.051899       579      4096
layer_17.self_attn.k_proj     0.040110     0.091878       0.051768      1506      4096
layer_35.self_attn.q_proj     0.035962     0.087138       0.051176      1729      4096
 layer_2.self_attn.k_proj     0.026795     0.077936       0.051141      1623      4081
 layer_2.self_attn.q_proj     0.026566     0.077418       0.050852      1623      4081
   layer_29.mlp.down_proj     0.079041     0.129770       0.050729      4836     12288
    layer_7.mlp.down_proj     0.090742     0.141287       0.050545      9489     12288
   layer_24.mlp.gate_proj     0.045187     0.095506       0.050319      2734      4094
